number;construction
ГП1;Здание входных ниток и пробкоуловителей
ГП2;Емкости аварийная и дренажная ВМР и конденсата
ГП4;Емкости аварийная и дренажная ВМР и конденсата
ГП5;Здание цеха подготовки газа
ГП7;Теплообменники газа
ГП9;Блок-бокс подготовки газа на собственные нужды
ГП11;Блок-бокс пункта измерения расхода газа
ГП12;Установка свечи с гидрозатвором
ГП13;Емкость дренажная стабильного конденсата V=40 м3
ГП15;Манифольдная резервуарного парка стабильного конденсата
ГП16;Резервуарный парк стабильного конденсата V=4x5000 м3
ГП17;Стояки верхнего налива автоцистерн метанола (2 стояка) и конденсата (1 стояк)
ГП18;Емкости премно-дренажная метанола и дренажная конденсата
ГП19;Арматурные узлы метанола
ГП20;Резервуарный парк метанола V=3x1000 м3
ГП21;Манифольдная резервуарного парка метанола
ГП22;Здание насосной конденсата и метанола
ГП24;Установка свечи с гидрозатвором
ГП25;Здание регенерации метанола
ГП26;Емкости аварийная и дренажные
ГП27;АВО метанола
ГП28;Разделители и расходные емкости метанола
ГП30;Здание печей стабилизации конденсата
ГП31;Разделители, буферные емкости
ГП32;Здание установки стабилизации конденсата
ГП33;Емкости аварийные и дренажная ВМР и конденсата
ГП34;Здание компрессорного цеха
ГП35;Установка факельных сепараторов со сборниками жидкости
ГП36;Установка вертикальных и горизонтального факелов
ГП36;Установка вертикальных факелов и горизонтального факела
ГП37;Емкость дренажная ВМР и конденсата V=40 м3
ГП38;Блок-бокс коммерческого измерения стабильного конденстата и газа стабилизации
ГП42;Канализационная насосная станция промстоков
ГП44;Резервуар дождевых сточных вод V=2500 м3
ГП44а;Резервуар дождевых сточных вод V=2500 м3
ГП45;Канализационная насосная станция дождевых сточных вод
ГП46;Канализационная насосная станция промстоков
ГП49;Блок-бокс дозирования пенообразователя
ГП49а;Блок-бокс дозирования пенообразователя
ГП49б;Блок бокс дозирования пенообразователя
ГП50;Здание контрольно-пропускного пункта
ГП52;Котельная
ГП53;Станция очистки природной воды
ГП54;Резервуар хозяйственно-питьевого запаса воды V=50 м3
ГП55;Резервуар хозяйственно-питьевого запаса воды V=50 м3
ГП56;Резервуар противопожарного запаса воды V=2000 м3
ГП57;Резервуар противопожарного запаса воды V=2000 м3
ГП58;Насосная станция хозяйственно-питьевого и производственно противопожарного водоснабжения
ГП59;Канализационная насосная станция условно чистых стоков
ГП60;Склад дизтоплива в составе
ГП60а;Емкости расходные дизтоплива V=5x100 м3
ГП60б;Насосная дизтоплива
ГП60в;Площадка слива АЦ
ГП60г;Емкость подземная дренажная V=12,5 м3
ГП61;Установка производства азота в составе
ГП61а;Азотная станция Рраб.=3,5МПа
ГП61б;Площадка ресиверов азота
ГП64;Блок-бокс дизельной электростанции АДЭС 1600 кВт
ГП64а;Емкость подземная дренажная V =3м3
ГП65;Блок-бокс дизельной электростанции АДЭС 630 кВт
ГП65а;Емкость подземная дренажная V =3м3
ГП66;Блок-бокс дизельной электростанции АДЭС 1000 кВт
ГП67;Блок-бокс дизельной электростанции АДЭС 1600 кВт
ГП70;Блочно-комплектная трансформаторная подстанция 2БКТПА 1000/10/0,4 УХЛ1
ГП71;Блок-бокс дизельной электростанции АДЭС 1000кВт
ГП71а;Емкость подземная дренажная V =3м3
ГП72;Блочно-комплектная трансформаторная подстанция 2БКТПА 1600/10/0,4 УХЛ1
ГП73;Блочно-комплектная трансформаторная подстанция 2БКТПА 630/10/0,4 УХЛ1
ГП75;Блочно-комплектная трансформаторная подстанция 2БКТПА 630/10/0,4 УХЛ1
ГП76;Блок-бокс дизельной электростанции АДЭС 630кВт
ГП76а;Емкость подземная дренажная V =3м3
ГП77;Блок-бокс дизельной электростанции АДЭС 1600кВт
ГП77а;Емкость подземная дренажная V =3м3
ГП78;Здание закрытого распределительного утсройства 10кВ
ГП80;Блок-бокс электробогрева
ГП81;Блок-бокс электробогрева
ГП82;Блок-бокс электробогрева
ГП84;Блочно-комплектная трансформаторная подстанция 2БКТПА 630/10/0,4 УХЛ1
ГП85;Блок-бокс дизельной электростанции АДЭС 630кВт
ГП85а ;Емкость подземная дренажная V =3м3
ГП86;Блочно-комплектная трансформаторная подстанция 2БКТПА 1000/10/0,4 УХЛ1
ГП89;Блочно-комплектная трансформаторная подстанция 2БКТПА 1600/10/0,4 УХЛ1
ГП90;Блочно-комплектная трансформаторная подстанция 2БКТПА 1600/10/0,4 УХЛ1
ГП94;Блочно-комплектная закрытое распределительное устройство 10кВ
ГП95;Блок-бокс дизельной электростанции АДЭС 1000кВт
ГП95а;Емкость подземная дренажная V =3м3
ГП96;БКПС-110/10кВ 2x25МВА (в том числе):
ГП96-1;Закрытое распределительное устройство 110 кВ (ЗРУ 110кВ)
ГП96-2;Силовой трансформатор 110/10кВ (Т1)
ГП96-3;Силовой трансформатор 110/10кВ (Т2)
ГП96-4;Маслосборник V=75 м2
ГП96-5;Общестанционный пункт управления (ОПУ)
ГП100;Установка компрессорных агрегатов
ГП101;Установка охлаждения газа
ГП102;Установка подготовки газа на собственные нужды
ГП103;Узел подключения
ГП105;Установка очистки газа
ГП120;Блочно-комплектная трансформаторная подстанция 2БКТПА 400/10/0,4 УХЛ1
ГП121;Блочно-комплектное закрытое распределительное устройство 10 кВ
ГП122;Блок-бокс дизельной электростанции АДЭС 400кВт
ГП122а;Емкость подземная дренажная V=3 м3
ГП123;Здание склада тарного хранения масла
ГП125;Здание энергетического блока
ГП126;Блочно-комплектная трансформаторная подстанция АВО газа 2БКТПА 1000/10/0,4 УХЛ1
ГП127;Блок-бокс дизельной электростанции АДЭС 1000кВт
ГП127а;Емкость подземная дренажная V=3 м3
ГП128;Блочно-комплектная трансформаторная подстанция АВО газа 2БКТПА 1000/10/0,4 УХЛ1
ГП129;Блок-бокс дизельной электростанции АДЭС 1000кВт
ГП129а;Емкость подземная дренажная V=3 м3
ГП130;Канализационная насосная станция промстоков
ГП133;Блок-бокс дизельной электростанции АДЭС 1000кВт
ГП134;Склад дизтоплив в составе:
ГП134а;Емкости дизтоплива V=3x25 м3
ГП134б;Емкость подземная дренажная V =3м3
ГП134в;Узел слива АЦ
ГП301;Здание служебно-эксплуатационного блока
ГП302;Антенная опора Н=70м
ГП304;Здание ремонтно-эксплуатационного блока
ГП305;Склад материалов и оборудования (С-150)
ГП307;Канализационная насосная станция бытовых стоков
ГП310;Резервуар дождевых сточных вод V=900 м3
ГП311;Канализационная насосная станция дождевых сточных вод
ГП312;Блочно-комплектная трансформаторная подстанция 2БКТПА 1600/10/0,4 УХЛ1
ГП313;Блок-бокс дизельной электростанции АДЭС 1600кВт
ГП313а;Емкость подземная дренажная V=3 м3
ГП315;Здание стоянки автотранспорта
ГП450;Здание пожарного депо на 4 автомобиля
ГП450а;Резервуар противопожарного запаса воды V=50 м3
ГП450б;Полоса препятствий
ГП450в;Учебная пожарная башня
ГП450г;Тренировочная полоса с предохранительными подушками
ГП450д;Дымокамера
КГС 201;Куст газовых скважин №201
КГС 202;Куст газовых скважин №202
КГС 203;Куст газовых скважин №203
КГС 204;Куст газовых скважин №204
КГС 205;Куст газовых скважин №205
КГС 206;Куст газовых скважин №206
КГС 207;Куст газовых скважин №207
КГС 208;Куст газовых скважин №208
КГС 209;Куст газовых скважин №209
КОС;КОС. Комплекс термического обезвреживания жидких стоков
КОС-7;КОС. Блочно-комплектная трансформаторная подстанция 2БКТПА-1600/10/0,4-УХЛ1
КОС-9;КОС. Блок-бокс дизельной электростанции АДЭС-1600 кВт
УОК-3-2.2;Узел охранного крана УОК-3-2.2
КП УЗПОУ;Конденцатопровод УЗПОУ
УОК 204;Узел охранного крана УОК 204